"index","date","cloud_cover","sunshine","global_radiation","max_temp","mean_temp","min_temp","precipitation","pressure","snow_depth"
"0","19790101","2","7","52","2.3","-4.1","-7.5","0.4","101900","9"
"1","19790102","6","1.7","27","1.6","-2.6","-7.5","0","102530","8"
"2","19790103","5","0","13","1.3","-2.8","-7.2","0","102050","4"
"3","19790104","8","0","13","-0.3","-2.6","-6.5","0","100840","2"
"4","19790105","6","2","29","5.6","-0.8","-1.4","0","102250","1"
"5","19790106","5","3.8","39","8.3","-0.5","-6.6","0.7","102780","1"
"6","19790107","8","0","13","8.5","1.5","-5.3","5.2","102520","0"
"7","19790108","8","0.1","15","5.8","6.9","5.3","0.8","101870","0"
"8","19790109","4","5.8","50","5.2","3.7","1.6","7.2","101170","0"
"9","19790110","7","1.9","30","4.9","3.3","1.4","2.1","98700","0"
"10","19790111","1","6.8","55","2.9","2.6","0.3","2.3","98960","0"
"11","19790112","3","6.4","54","2","0.4","-2","0","100650","1"
"12","19790113","1","7","57","4.3","-2.6","-7.1","0","102350","1"
"13","19790114","7","0","14","6.7","-0.6","-5.6","0.8","102700","1"
"14","19790115","","0","15","5.9","3.8","1","0.1","102990","0"
"15","19790116","8","0","15","2.6","5","4.1","3.9","103100","0"
"16","19790117","8","0","15","1.9","2.1","1.6","2.5","102220","0"
"17","19790118","8","0","15","3","0.8","-0.2","0.2","101860","0"
"18","19790119","8","0","16","7.2","0.8","-1.4","5.2","100910","0"
"19","19790120","7","0","16","3.5","3.1","-1","0","100920","0"
"20","19790121","","0","16","1.5","0","-3.5","0.1","102170","0"
"21","19790122","8","0","16","0.3","-0.2","-1.8","6.2","101680","0"
"22","19790123","7","0","17","2.9","-1","-2.3","1","100970","6"
"23","19790124","3","4.8","54","5.6","-1.4","-5.6","1.4","101010","6"
"24","19790125","8","0","17","2.8","0.6","-4.5","5.3","99660","1"
"25","19790126","5","2.6","42","1.6","0.8","-1.1","0.1","99280","1"
"26","19790127","4","2.1","39","4.5","-1.8","-5.2","0","99770","0"
"27","19790128","7","3.1","47","4.8","0","-4.4","7.5","99470","0"
"28","19790129","4","1","31","4","1.9","-1","4.4","98920","0"
"29","19790130","5","0.8","30","7.3","0.7","-2.6","0.1","100070","0"
