serie,season,number,episode,year,genre,runtime,votes,rating
13 Reasons Why,1,1,"Tape 1, Side A",2017,"Drama,Mystery,Thriller",54,8097,8.2
13 Reasons Why,1,2,"Tape 1, Side B",2017,"Drama,Mystery,Thriller",52,6777,7.9
13 Reasons Why,1,3,"Tape 2, Side A",2017,"Drama,Mystery,Thriller",57,6385,7.8
13 Reasons Why,1,4,"Tape 2, Side B",2017,"Drama,Mystery,Thriller",57,6155,8.0
13 Reasons Why,1,5,"Tape 3, Side A",2017,"Drama,Mystery,Thriller",59,6088,8.1
13 Reasons Why,1,6,"Tape 3, Side B",2017,"Drama,Mystery,Thriller",52,5872,7.9
13 Reasons Why,1,7,"Tape 4, Side A",2017,"Drama,Mystery,Thriller",54,5982,8.3
13 Reasons Why,1,8,"Tape 4, Side B",2017,"Drama,Mystery,Thriller",54,5795,8.0
13 Reasons Why,1,9,"Tape 5, Side A",2017,"Drama,Mystery,Thriller",59,5940,8.6
13 Reasons Why,1,10,"Tape 5, Side B",2017,"Drama,Mystery,Thriller",50,5940,8.5
13 Reasons Why,1,11,"Tape 6, Side A",2017,"Drama,Mystery,Thriller",54,7847,9.1
13 Reasons Why,1,12,"Tape 6, Side B",2017,"Drama,Mystery,Thriller",62,6829,9.0
13 Reasons Why,1,13,"Tape 7, Side A",2017,"Drama,Mystery,Thriller",60,9042,9.2
13 Reasons Why,2,1,The First Polaroid,2018,"Drama,Mystery,Thriller",60,4152,7.0
13 Reasons Why,2,2,Two Girls Kissing,2018,"Drama,Mystery,Thriller",60,3589,7.1
13 Reasons Why,2,3,The Drunk Slut,2018,"Drama,Mystery,Thriller",57,3426,7.3
13 Reasons Why,2,4,The Second Polaroid,2018,"Drama,Mystery,Thriller",57,3252,7.1
13 Reasons Why,2,5,The Chalk Machine,2018,"Drama,Mystery,Thriller",57,3180,7.0
13 Reasons Why,2,6,The Smile at the End of the Dock,2018,"Drama,Mystery,Thriller",58,3504,7.7
13 Reasons Why,2,7,The Third Polaroid,2018,"Drama,Mystery,Thriller",56,3132,7.3
13 Reasons Why,2,8,The Little Girl,2018,"Drama,Mystery,Thriller",57,3125,7.6
13 Reasons Why,2,9,The Missing Page,2018,"Drama,Mystery,Thriller",57,3225,8.0
13 Reasons Why,2,10,"Smile, Bitches",2018,"Drama,Mystery,Thriller",55,3080,7.5
13 Reasons Why,2,11,Bryce and Chloe,2018,"Drama,Mystery,Thriller",58,3437,8.2
13 Reasons Why,2,12,The Box of Polaroids,2018,"Drama,Mystery,Thriller",56,3283,8.0
13 Reasons Why,2,13,Bye,2018,"Drama,Mystery,Thriller",70,5532,6.5
13 Reasons Why,3,1,Yeah. I'm the New Girl,2019,"Drama,Mystery,Thriller",56,2839,6.3
13 Reasons Why,3,2,"If You're Breathing, You're a Liar",2019,"Drama,Mystery,Thriller",57,2474,6.5
13 Reasons Why,3,3,The Good Person Is Indistinguishable from the Bad,2019,"Drama,Mystery,Thriller",59,2326,6.5
13 Reasons Why,3,4,"Angry, Young and Man",2019,"Drama,Mystery,Thriller",58,2241,6.8
